"","employees","salaries.2014","salaries.2015","stringAsFactors","raise","got.raise"
"40","Employee 40",42024.85144604,40824.8121105134,FALSE,-1200.03933552653,FALSE
"41","Employee 41",45904.8357908614,44582.4047154747,FALSE,-1322.4310753867,FALSE
"42","Employee 42",49311.5854915231,66504.5259334147,FALSE,17192.9404418916,TRUE
"43","Employee 43",43681.8796140142,57272.5652996451,FALSE,13590.6856856309,TRUE
"44","Employee 44",48581.2063398771,63980.9522638097,FALSE,15399.7459239326,TRUE
"45","Employee 45",40913.2928517647,31620.3944431618,FALSE,-9292.89840860292,FALSE
"46","Employee 46",48860.3551313281,52888.554232195,FALSE,4028.19910086691,TRUE
"47","Employee 47",40893.6277218163,52996.0598540492,FALSE,12102.4321322329,TRUE
"48","Employee 48",48994.4194862619,41786.5131841972,FALSE,-7207.90630206466,FALSE
"49","Employee 49",45346.2269273587,52008.7284781039,FALSE,6662.50155074522,TRUE
"50","Employee 50",41206.5844098106,56627.6395134628,FALSE,15421.0551036522,TRUE
"51","Employee 51",48729.8835627735,52992.5029817969,FALSE,4262.61941902339,TRUE
"52","Employee 52",46773.1583840214,43111.1957179382,FALSE,-3661.96266608313,FALSE
"53","Employee 53",49891.814973671,59655.5577218533,FALSE,9763.74274818227,TRUE
"54","Employee 54",41248.5876260325,34047.3546320572,FALSE,-7201.23299397528,FALSE
"55","Employee 55",46400.2510067075,64903.6070215516,FALSE,18503.356014844,TRUE
"56","Employee 56",47301.0311392136,63202.8232514858,FALSE,15901.7921122722,TRUE
"57","Employee 57",40444.6698352695,35676.1876353994,FALSE,-4768.48219987005,FALSE
"58","Employee 58",40027.7417502366,57542.0121382922,FALSE,17514.2703880556,TRUE
"59","Employee 59",46504.0235943161,41400.7137552835,FALSE,-5103.30983903259,FALSE
"60","Employee 60",48179.2902410962,42153.5451686941,FALSE,-6025.74507240206,FALSE
"61","Employee 61",40946.1118234321,40750.0860118307,FALSE,-196.02581160143,FALSE
"62","Employee 62",48183.0893666483,65295.985727571,FALSE,17112.8963609226,TRUE
"63","Employee 63",48971.281494014,58417.1238634735,FALSE,9445.84236945957,TRUE
"64","Employee 64",43876.3073529117,60988.1746117026,FALSE,17111.8672587909,TRUE
"65","Employee 65",48336.3901940174,42399.9941069633,FALSE,-5936.39608705416,FALSE
"66","Employee 66",44192.5726667978,34687.1269284748,FALSE,-9505.44573832303,FALSE
"67","Employee 67",49879.3728277087,58753.5677524284,FALSE,8874.19492471963,TRUE
"68","Employee 68",45695.3754462302,50786.0297802836,FALSE,5090.6543340534,TRUE
"69","Employee 69",46354.4823182747,49987.7024488524,FALSE,3633.22013057768,TRUE
"70","Employee 70",48422.417989932,44153.9965011179,FALSE,-4268.42148881406,FALSE
"71","Employee 71",41676.8107027747,40885.3155188262,FALSE,-791.495183948427,FALSE
"72","Employee 72",40081.0888945125,34173.1589240953,FALSE,-5907.92997041717,FALSE
"73","Employee 73",40406.2982904725,38272.0605307259,FALSE,-2134.23775974661,FALSE
"74","Employee 74",46650.1697571948,41138.8531932607,FALSE,-5511.31656393409,FALSE
"75","Employee 75",41123.8098377362,43213.1546293385,FALSE,2089.34479160234,TRUE
"76","Employee 76",40582.8782171011,56492.5665990449,FALSE,15909.6883819439,TRUE
"77","Employee 77",46156.7803309299,52155.7683940046,FALSE,5998.98806307465,TRUE
"78","Employee 78",45260.3646996431,46220.7999872044,FALSE,960.435287561268,TRUE
"79","Employee 79",44391.7163647711,45765.9582910128,FALSE,1374.24192624167,TRUE
"80","Employee 80",48991.967542097,65022.0057065599,FALSE,16030.0381644629,TRUE
"81","Employee 81",44190.9399884753,52944.5574642159,FALSE,8753.61747574061,TRUE
"82","Employee 82",42117.065701168,58454.6177182347,FALSE,16337.5520170666,TRUE
"83","Employee 83",42092.7741215564,44049.9062929302,FALSE,1957.13217137381,TRUE
"84","Employee 84",47839.0566655435,63024.3823095225,FALSE,15185.325643979,TRUE
"85","Employee 85",46722.1288452856,41664.2562067136,FALSE,-5057.87263857201,FALSE
"86","Employee 86",45724.5760480873,41495.9733420983,FALSE,-4228.60270598903,FALSE
"87","Employee 87",42440.8962228335,58863.9558129944,FALSE,16423.0595901608,TRUE
"88","Employee 88",47232.5339354575,58592.8606567904,FALSE,11360.326721333,TRUE
"89","Employee 89",45908.2849533297,40099.1479214281,FALSE,-5809.13703190163,FALSE
"90","Employee 90",48350.2190350555,49309.1530050151,FALSE,958.933969959617,TRUE
"91","Employee 91",48855.5412134156,47917.4196231179,FALSE,-938.121590297669,FALSE
"92","Employee 92",41518.099878449,34678.9315878414,FALSE,-6839.16829060763,FALSE
"93","Employee 93",48097.4727030843,67939.8996289819,FALSE,19842.4269258976,TRUE
"94","Employee 94",41943.0062058382,33875.7150503807,FALSE,-8067.2911554575,FALSE
"95","Employee 95",44346.7133259401,62519.8239902966,FALSE,18173.1106643565,TRUE
"96","Employee 96",43023.7888451666,53990.8308302984,FALSE,10967.0419851318,TRUE
"97","Employee 97",41971.5759111568,59112.5567886047,FALSE,17140.9808774479,TRUE
"98","Employee 98",49771.440057084,56829.7616951168,FALSE,7058.32163803279,TRUE
"99","Employee 99",40078.1654659659,55201.9541733898,FALSE,15123.788707424,TRUE
"100","Employee 100",48488.8861980289,41074.301386252,FALSE,-7414.58481177688,FALSE
